+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| Period | Period Start               | Period End                 | Max             | Min             | Avg             | Sum            | Count | Duration | Duration Start             | Duration End               |
| 360    | 2018-08-10T20:28:17.365000 | 2018-08-10T20:34:17.365000 | 70.2386284363   | 64.6668129277   | 66.4141842012   | 664.141842012  | 10    | 235.858  | 2018-08-10T20:28:18.347000 | 2018-08-10T20:32:14.205000 |
| 360    | 2018-08-10T20:34:17.365000 | 2018-08-10T20:40:17.365000 | 72.8877080257   | 67.6310339619   | 70.3959128761   | 703.959128761  | 10    | 235.833  | 2018-08-10T20:34:18.367000 | 2018-08-10T20:38:14.200000 |
| 360    | 2018-08-10T20:40:17.365000 | 2018-08-10T20:46:17.365000 | 73.8542863487   | 67.3225644357   | 70.0223532806   | 700.223532806  | 10    | 235.777  | 2018-08-10T20:40:18.432000 | 2018-08-10T20:44:14.209000 |
| 360    | 2018-08-10T20:46:17.365000 | 2018-08-10T20:52:17.365000 | 73.7098557559   | 67.031399051    | 70.2261928324   | 702.261928324  | 10    | 235.842  | 2018-08-10T20:46:18.364000 | 2018-08-10T20:50:14.206000 |
| 360    | 2018-08-10T20:52:17.365000 | 2018-08-10T20:58:17.365000 | 67.6722318733   | 61.0437256207   | 64.2029736733   | 642.029736733  | 10    | 235.8    | 2018-08-10T20:52:18.421000 | 2018-08-10T20:56:14.221000 |
| 360    | 2018-08-10T20:58:17.365000 | 2018-08-10T21:04:17.365000 | 68.7574493023   | 61.0354582196   | 64.2274787919   | 642.274787919  | 10    | 235.789  | 2018-08-10T20:58:18.418000 | 2018-08-10T21:02:14.207000 |
| 360    | 2018-08-10T21:04:17.365000 | 2018-08-10T21:10:17.365000 | 65.0458254228   | 59.7069170175   | 61.9153498754   | 619.153498754  | 10    | 235.795  | 2018-08-10T21:04:18.425000 | 2018-08-10T21:08:14.220000 |
| 360    | 2018-08-10T21:10:17.365000 | 2018-08-10T21:16:17.365000 | 63.4085218408   | 58.5507631756   | 60.9905886128   | 609.905886128  | 10    | 235.836  | 2018-08-10T21:10:18.377000 | 2018-08-10T21:14:14.213000 |
| 360    | 2018-08-10T21:16:17.365000 | 2018-08-10T21:22:17.365000 | 62.0061374146   | 57.3941360907   | 59.188543731    | 591.88543731   | 10    | 235.558  | 2018-08-10T21:16:18.656000 | 2018-08-10T21:20:14.214000 |
| 360    | 2018-08-10T21:22:17.365000 | 2018-08-10T21:28:17.365000 | 62.2195565845   | 55.4695714534   | 58.4291147222   | 584.291147222  | 10    | 235.749  | 2018-08-10T21:22:18.470000 | 2018-08-10T21:26:14.219000 |
| 360    | 2018-08-10T21:28:17.365000 | 2018-08-10T21:34:17.365000 | 57.2226052251   | 49.8227623594   | 52.7853778318   | 527.853778318  | 10    | 235.829  | 2018-08-10T21:28:18.395000 | 2018-08-10T21:32:14.224000 |
| 360    | 2018-08-10T21:34:17.365000 | 2018-08-10T21:40:17.365000 | 51.213085797    | 44.1204374934   | 46.6510897746   | 466.510897746  | 10    | 235.851  | 2018-08-10T21:34:18.387000 | 2018-08-10T21:38:14.238000 |
| 360    | 2018-08-10T21:40:17.365000 | 2018-08-10T21:46:17.365000 | 47.6355464138   | 38.9112024185   | 42.7353677138   | 427.353677138  | 10    | 235.837  | 2018-08-10T21:40:18.397000 | 2018-08-10T21:44:14.234000 |
| 360    | 2018-08-10T21:46:17.365000 | 2018-08-10T21:52:17.365000 | 43.1471244764   | 35.0774839165   | 38.5572571992   | 385.572571992  | 10    | 235.844  | 2018-08-10T21:46:18.398000 | 2018-08-10T21:50:14.242000 |
| 360    | 2018-08-10T21:52:17.365000 | 2018-08-10T21:58:17.365000 | 36.3819499153   | 31.2499756988   | 32.9846190269   | 329.846190269  | 10    | 235.836  | 2018-08-10T21:52:18.396000 | 2018-08-10T21:56:14.232000 |
| 360    | 2018-08-10T21:58:17.365000 | 2018-08-10T22:04:17.365000 | 33.2113437392   | 27.7186487673   | 29.9913225343   | 299.913225343  | 10    | 235.731  | 2018-08-10T21:58:18.506000 | 2018-08-10T22:02:14.237000 |
| 360    | 2018-08-10T22:04:17.365000 | 2018-08-10T22:10:17.365000 | 30.849170366    | 25.7928238029   | 27.7289848254   | 277.289848254  | 10    | 235.835  | 2018-08-10T22:04:18.392000 | 2018-08-10T22:08:14.227000 |
| 360    | 2018-08-10T22:10:17.365000 | 2018-08-10T22:16:17.365000 | 28.5505050822   | 24.0140410909   | 25.602218713    | 256.02218713   | 10    | 235.847  | 2018-08-10T22:10:18.401000 | 2018-08-10T22:14:14.248000 |
| 360    | 2018-08-10T22:16:17.365000 | 2018-08-10T22:22:17.365000 | 26.3234410176   | 22.594080411    | 23.9100116823   | 239.100116823  | 10    | 235.792  | 2018-08-10T22:16:18.446000 | 2018-08-10T22:20:14.238000 |
| 360    | 2018-08-10T22:22:17.365000 | 2018-08-10T22:28:17.365000 | 24.7764562575   | 21.2999605951   | 22.6292803562   | 226.292803562  | 10    | 235.87   | 2018-08-10T22:22:18.389000 | 2018-08-10T22:26:14.259000 |
| 360    | 2018-08-10T22:28:17.365000 | 2018-08-10T22:34:17.365000 | 21.9308435879   | 8.13326406503   | 15.5631642283   | 140.068478055  | 9     | 235.873  | 2018-08-10T22:28:18.438000 | 2018-08-10T22:32:14.311000 |
| 360    | 2018-08-10T22:34:17.365000 | 2018-08-10T22:40:17.365000 | 9.79315115002   | 4.50125670086   | 6.78620898208   | 54.2896718567  | 8     | 235.853  | 2018-08-10T22:34:18.380000 | 2018-08-10T22:38:14.233000 |
| 360    | 2018-08-10T22:40:17.365000 | 2018-08-10T22:46:17.365000 | 12.5986848373   | 10.7728353162   | 11.5572545523   | 57.7862727616  | 5     | 225.853  | 2018-08-10T22:40:18.502000 | 2018-08-10T22:44:04.355000 |
| 360    | 2018-08-10T22:46:17.365000 | 2018-08-10T22:52:17.365000 | 19.5976443043   | 15.4541528291   | 17.8994474658   | 53.6983423973  | 3     | 179.926  | 2018-08-10T22:46:18.423000 | 2018-08-10T22:49:18.349000 |
| 360    | 2018-08-10T22:52:17.365000 | 2018-08-10T22:58:17.365000 | 42.086299552    | 32.8378137601   | 37.4620566561   | 74.9241133121  | 2     | 179.964  | 2018-08-10T22:52:18.385000 | 2018-08-10T22:55:18.349000 |
| 360    | 2018-08-10T22:58:17.365000 | 2018-08-10T23:04:17.365000 | 46.1394985957   | 45.5911857041   | 45.8653421499   | 91.7306842998  | 2     | 179.976  | 2018-08-10T22:58:18.383000 | 2018-08-10T23:01:18.359000 |
| 360    | 2018-08-10T23:04:17.365000 | 2018-08-10T23:10:17.365000 | 50.2593437704   | 47.3763132165   | 48.8178284935   | 97.635656987   | 2     | 179.967  | 2018-08-10T23:04:18.386000 | 2018-08-10T23:07:18.353000 |
| 360    | 2018-08-10T23:10:17.365000 | 2018-08-10T23:16:17.365000 | 50.1293448186   | 35.8177099272   | 41.8746600146   | 125.623980044  | 3     | 235.864  | 2018-08-10T23:10:18.387000 | 2018-08-10T23:14:14.251000 |
| 360    | 2018-08-10T23:16:17.365000 | 2018-08-10T23:22:17.365000 | 25.2879234331   | 23.2256655089   | 24.4109876795   | 97.6439507179  | 4     | 235.808  | 2018-08-10T23:16:18.438000 | 2018-08-10T23:20:14.246000 |
| 360    | 2018-08-10T23:22:17.365000 | 2018-08-10T23:28:17.365000 | 27.4756507255   | 26.3330830162   | 27.1471078447   | 108.588431379  | 4     | 235.854  | 2018-08-10T23:22:18.391000 | 2018-08-10T23:26:14.245000 |
| 360    | 2018-08-10T23:28:17.365000 | 2018-08-10T23:34:17.365000 | 30.5947627434   | 27.4786459183   | 29.0388949642   | 116.155579857  | 4     | 235.846  | 2018-08-10T23:28:18.405000 | 2018-08-10T23:32:14.251000 |
| 360    | 2018-08-10T23:34:17.365000 | 2018-08-10T23:40:17.365000 | 31.7694757112   | 29.4887729688   | 30.6886804129   | 122.754721652  | 4     | 235.848  | 2018-08-10T23:34:18.399000 | 2018-08-10T23:38:14.247000 |
| 360    | 2018-08-10T23:40:17.365000 | 2018-08-10T23:46:17.365000 | 34.2669191635   | 32.5884393003   | 33.3437353373   | 133.374941349  | 4     | 235.845  | 2018-08-10T23:40:18.405000 | 2018-08-10T23:44:14.250000 |
| 360    | 2018-08-10T23:46:17.365000 | 2018-08-10T23:52:17.365000 | 37.2121284578   | 34.5901969604   | 35.9863760282   | 143.945504113  | 4     | 235.85   | 2018-08-10T23:46:18.402000 | 2018-08-10T23:50:14.252000 |
| 360    | 2018-08-10T23:52:17.365000 | 2018-08-10T23:58:17.365000 | 41.6402128762   | 40.1206897939   | 41.0723725642   | 164.289490257  | 4     | 235.797  | 2018-08-10T23:52:18.449000 | 2018-08-10T23:56:14.246000 |
| 360    | 2018-08-10T23:58:17.365000 | 2018-08-11T00:04:17.365000 | 50.1603124029   | 43.805834214    | 46.7090777013   | 186.836310805  | 4     | 235.822  | 2018-08-10T23:58:18.416000 | 2018-08-11T00:02:14.238000 |
